PUID_SIX,GENDER_DESC,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE_DESC,COUNTY_DESC,STATE_PROVINCE_DESC,NATION_DESC,RESIDENCY_DESC,CONFIDENTIALITY_IND,DECEASED_STATUS,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,FINAL_GRADE,REPEAT_COURSE_IND
004156,Female,Black or African American,Y,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B-,
004400,Male,Asian,N,,,,India,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,RE,**Registered**,C-,I
004572,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
007567,Male,Asian,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
008036,Male,Asian,N,,,,Taiwan,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,A-,
008873,Female,Black or African American,Y,,Tippecanoe,Indiana,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
010339,Female,Asian,N,,Tippecanoe,Indiana,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,A-,I
016864,Male,International,N,,,,Republic of Korea,Foreign,N,N,202210,Fall 2021,PWL,PHYS17200,103,37253,RW,**Web Registered**,,
017073,Male,International,N,,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
017298,Female,International,N,,,,Republic of Korea,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RE,**Registered**,A-,I
021598,Male,White,N,,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,037,32657,RW,**Web Registered**,D+,
024622,Male,Asian,N,,,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
025779,Female,Asian,N,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
026910,Male,Black or African American,Y,,Miami-Dade,Florida,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B+,
031699,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
031747,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C+,
032310,Male,Hispanic/Latino,Y,,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C+,
032400,Female,White,N,,,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
032718,Female,Hispanic/Latino,Y,,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B,
032936,Male,White,N,,Allen,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,018,28587,RW,**Web Registered**,C-,I
033692,Female,Hispanic/Latino,Y,1st Generation Student,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,W,Withdrawn-W,W,
033728,Female,White,N,,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,D+,
