PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
004156,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.4125
004400,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.03425926
004572,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.00108696
007567,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.77966102
008036,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.88723404
008873,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.60594059
010339,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.89117647
016864,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,3.15833333
017073,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,1.95555556
017298,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.11555556
021598,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,2.92919255
024622,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.7765625
025779,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.29736842
026910,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.18706897
031699,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.49642857
031747,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.30307692
032310,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.44255319
032400,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.8
032718,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.61923077
032936,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,2.62711864
033692,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.26824324
033728,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,1.99795918
033907,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.47096774
034409,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.92727273
035115,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,4
035236,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.54411765
035291,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.83684211
035348,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.47258065
035542,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.71904762
035856,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.96103896
035878,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.86491228
036899,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.97083333
036970,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.15
037456,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.80333333
037718,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.08095238
039336,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.42083333
039357,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.08043478
039427,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.26
